uf_nome;uf;municipio;populacao;ibge;IBGE_SEMCOD;ADS;SRS
CE;23;Itapajé;53067;2306306;230630;CAUCAIA;FORTALEZA
CE;23;Itapipoca;130539;2306405;230640;ITAPIPOCA;FORTALEZA
CE;23;Itapiúna;20520;2306504;230650;BATURITE;FORTALEZA
CE;23;Itarema;42215;2306553;230655;ACARAU;SOBRAL
CE;23;Itatira;21836;2306603;230660;CANINDE;SERTAO CENTRAL
CE;23;Jaguaretama;18147;2306702;230670;RUSSAS;LITORAL LESTE/JAGUARIBE
CE;23;Jaguaribara;11492;2306801;230680;LIMOEIRO;LITORAL LESTE/JAGUARIBE
CE;23;Jaguaribe;34636;2306900;230690;LIMOEIRO;LITORAL LESTE/JAGUARIBE
CE;23;Jaguaruana;33834;2307007;230700;RUSSAS;LITORAL LESTE/JAGUARIBE
CE;23;Jardim;27181;2307106;230710;JUAZEIRO;CARIRI
CE;23;Jati;8130;2307205;230720;BREJO SANTO;CARIRI
CE;23;Jijoca de Jericoacoara;20087;2307254;230725;ACARAU;SOBRAL
CE;23;Juazeiro do Norte;276264;2307304;230730;JUAZEIRO;CARIRI
CE;23;Jucás;24892;2307403;230740;IGUATU;CARIRI
CE;23;Lavras da Mangabeira;31492;2307502;230750;ICO;CARIRI
CE;23;Limoeiro do Norte;59890;2307601;230760;LIMOEIRO;LITORAL LESTE/JAGUARIBE
CE;23;Madalena;19864;2307635;230763;CANINDE;SERTAO CENTRAL
CE;23;Maracanaú;229458;2307650;230765;MARACANAU;FORTALEZA
CE;23;Maranguape;130346;2307700;230770;MARACANAU;FORTALEZA
CE;23;Marco;27595;2307809;230780;ACARAU;SOBRAL
CE;23;Martinópole;11321;2307908;230790;CAMOCIM;SOBRAL
CE;23;Massapê;39044;2308005;230800;SOBRAL;SOBRAL
CE;23;Mauriti;48168;2308104;230810;BREJO SANTO;CARIRI
CE;23;Meruoca;15185;2308203;230820;SOBRAL;SOBRAL
CE;23;Milagres;27462;2308302;230830;BREJO SANTO;CARIRI
CE;23;Milhã;13142;2308351;230835;QUIXADA;SERTAO CENTRAL
CE;23;Miraíma;13894;2308377;230837;ITAPIPOCA;FORTALEZA
CE;23;Missão Velha;35480;2308401;230840;JUAZEIRO;CARIRI
CE;23;Mombaça;43858;2308500;230850;IGUATU;CARIRI
CE;23;Monsenhor Tabosa;17249;2308609;230860;CRATEUS;SOBRAL
CE;23;Morada Nova;61738;2308708;230870;RUSSAS;LITORAL LESTE/JAGUARIBE
CE;23;Moraújo;8779;2308807;230880;SOBRAL;SOBRAL
CE;23;Morrinhos;22685;2308906;230890;ACARAU;SOBRAL
CE;23;Mucambo;14549;2309003;230900;SOBRAL;SOBRAL
CE;23;Mulungu;10941;2309102;230910;BATURITE;FORTALEZA
CE;23;Nova Olinda;15684;2309201;230920;CRATO;CARIRI
CE;23;Nova Russas;32408;2309300;230930;CRATEUS;SOBRAL
CE;23;Novo Oriente;28673;2309409;230940;CRATEUS;SOBRAL
CE;23;Ocara;25833;2309458;230945;CASCAVEL;FORTALEZA
CE;23;Orós;21384;2309508;230950;ICO;CARIRI
CE;23;Pacajus;73188;2309607;230960;CASCAVEL;FORTALEZA
CE;23;Pacatuba;84554;2309706;230970;MARACANAU;FORTALEZA
CE;23;Pacoti;12288;2309805;230980;BATURITE;FORTALEZA
CE;23;Pacujá;6549;2309904;230990;SOBRAL;SOBRAL
CE;23;Palhano;9422;2310001;231000;RUSSAS;LITORAL LESTE/JAGUARIBE
