MUNICIPIO;ADS_NOME;MACRO_NOME
MULUNGU;BATURITE   ;FORTALEZA
NOVA OLINDA;CRATO      ;CARIRI
NOVA RUSSAS;CRATEUS    ;SOBRAL
NOVO ORIENTE;CRATEUS    ;SOBRAL
OCARA;CASCAVEL   ;FORTALEZA
ORÓS;ICO        ;CARIRI
PACAJUS;CASCAVEL   ;FORTALEZA
PACATUBA;MARACANAU  ;FORTALEZA
PACOTI;BATURITE   ;FORTALEZA
PACUJÁ;SOBRAL     ;SOBRAL
PALHANO;RUSSAS     ;LITORAL LESTE/JAGUARIBE
PALMÁCIA;MARACANAU  ;FORTALEZA
PARACURU;CAUCAIA    ;FORTALEZA
PARAIPABA;CAUCAIA    ;FORTALEZA
PARAMBU;TAUA       ;SERTÃO CENTRAL
PARAMOTI;CANINDE    ;SERTÃO CENTRAL
PEDRA BRANCA;QUIXADA    ;SERTÃO CENTRAL
PENAFORTE;BREJO SANTO;CARIRI
PENTECOSTE;CAUCAIA    ;FORTALEZA
PEREIRO;LIMOEIRO   ;LITORAL LESTE/JAGUARIBE
PINDORETAMA;CASCAVEL   ;FORTALEZA
PIQUET CARNEIRO;IGUATU     ;CARIRI
PIRES FERREIRA;SOBRAL     ;SOBRAL
PORANGA;CRATEUS    ;SOBRAL
PORTEIRAS;BREJO SANTO;CARIRI
POTENGI;CRATO      ;CARIRI
POTIRETAMA;LIMOEIRO   ;LITORAL LESTE/JAGUARIBE
QUITERIANOPÓLES;CRATEUS    ;SOBRAL
QUIXADÁ;QUIXADA    ;SERTÃO CENTRAL
QUIXELÔ;IGUATU     ;CARIRI
QUIXERAMOBIM;QUIXADA    ;SERTÃO CENTRAL
QUIXERÉ;LIMOEIRO   ;LITORAL LESTE/JAGUARIBE
REDENÇÃO;MARACANAU  ;FORTALEZA
RERIUTABA;SOBRAL     ;SOBRAL
RUSSAS;RUSSAS     ;LITORAL LESTE/JAGUARIBE
SABOEIRO;IGUATU     ;CARIRI
SALITRE;CRATO      ;CARIRI
SANTANA DO ACARAÚ;SOBRAL     ;SOBRAL
SANTANA DO CARIRI;CRATO      ;CARIRI
SANTA QUITÉRIA;SOBRAL     ;SOBRAL
SÃO BENEDITO;TIANGUA    ;SOBRAL
SÃO GONÇALO DO AMARANTE;CAUCAIA    ;FORTALEZA
SÃO JOÃO DO JAGUARIBE;LIMOEIRO   ;LITORAL LESTE/JAGUARIBE
SÃO LUÍS DO CURU;CAUCAIA    ;FORTALEZA
SENADOR POMPEU;QUIXADA    ;SERTÃO CENTRAL
SENADOR SÁ;SOBRAL     ;SOBRAL
SOBRAL;SOBRAL     ;SOBRAL
SOLONÓPOLES;QUIXADA    ;SERTÃO CENTRAL
TABULEIRO DO NORTE;LIMOEIRO   ;LITORAL LESTE/JAGUARIBE
TAMBORIL;CRATEUS    ;SOBRAL
TARRAFAS;CRATO      ;CARIRI
TAUÁ;TAUA       ;SERTÃO CENTRAL
TEJUÇUOCA;CAUCAIA    ;FORTALEZA
TIANGUÁ;TIANGUA    ;SOBRAL
TRAIRI;ITAPIPOCA  ;FORTALEZA
TURURU;ITAPIPOCA  ;FORTALEZA
UBAJARA;TIANGUA    ;SOBRAL
UMARI;ICO        ;CARIRI
UMIRIM;ITAPIPOCA  ;FORTALEZA
URUBURETAMA;ITAPIPOCA  ;FORTALEZA
URUOCA;SOBRAL     ;SOBRAL
VARJOTA;SOBRAL     ;SOBRAL
VÁRZEA ALEGRE;CRATO      ;CARIRI
VIÇOSA DO CEARÁ;TIANGUA    ;SOBRAL
